Ortschaftsname;PLZ;Zusatzziffer;Gemeindename;BFS-Nr;Kantonskürzel;E;N;Sprache
Mézières VD;1083;0;Jorat-Mézières;5806;VD;6.7712172;46.5952331;fr
Carrouge VD;1084;0;Jorat-Mézières;5806;VD;6.7752360;46.6047837;fr
Champtauroz;1537;0;Champtauroz;5812;VD;6.7877799;46.7602020;fr
Chevroux;1545;0;Chevroux;5813;VD;6.9072408;46.8875614;fr
Corcelles-près-Payerne;1562;0;Corcelles-près-Payerne;5816;VD;6.9612122;46.8316400;fr
Grandcour;1543;0;Grandcour;5817;VD;6.9304844;46.8719047;fr
Henniez;1525;0;Henniez;5819;VD;6.8840562;46.7413888;fr
Missy;1565;0;Missy;5821;VD;6.9703997;46.8803792;fr
Payerne;1530;0;Payerne;5822;VD;6.9377684;46.8207355;fr
Vers-chez-Perrin;1551;0;Payerne;5822;VD;6.9426665;46.7964184;fr
Trey;1552;0;Trey;5827;VD;6.9259102;46.7702661;fr
Treytorrens (Payerne);1538;0;Treytorrens (Payerne);5828;VD;6.8008678;46.7711367;fr
Sédeilles;1554;0;Villarzel;5830;VD;6.9328691;46.7493946;fr
Rossens VD;1554;2;Villarzel;5830;VD;6.9223800;46.7350847;fr
Villarzel;1555;0;Villarzel;5830;VD;6.9126895;46.7488887;fr
Granges-près-Marnand;1523;0;Valbroye;5831;VD;6.8896274;46.7599490;fr
Marnand;1524;0;Valbroye;5831;VD;6.9011220;46.7561124;fr
Seigneux;1525;2;Valbroye;5831;VD;6.8785327;46.7281038;fr
Sassel;1534;0;Valbroye;5831;VD;6.8576526;46.7772391;fr
Combremont-le-Grand;1535;0;Valbroye;5831;VD;6.8182113;46.7619273;fr
Combremont-le-Petit;1536;0;Valbroye;5831;VD;6.8091873;46.7494459;fr
Villars-Bramard;1682;4;Valbroye;5831;VD;6.8985466;46.7183944;fr
Cerniaz VD;1682;5;Valbroye;5831;VD;6.8959931;46.7272056;fr
Château-d'Oex;1660;0;Château-d'Oex;5841;VD;7.1294303;46.4727468;fr
Les Moulins;1660;2;Château-d'Oex;5841;VD;7.1066592;46.4601853;fr
L'Etivaz;1660;3;Château-d'Oex;5841;VD;7.1478358;46.4245799;fr
La Lécherette;1660;4;Château-d'Oex;5841;VD;7.1062787;46.4213034;fr
Rossinière;1658;0;Rossinière;5842;VD;7.0811730;46.4663592;fr
La Tine;1658;2;Rossinière;5842;VD;7.0495098;46.4688406;fr
Rougemont;1659;0;Rougemont;5843;VD;7.2062492;46.4875538;fr
Flendruz;1659;2;Rougemont;5843;VD;7.1824739;46.4834836;fr
Allaman;1165;0;Allaman;5851;VD;6.3953060;46.4708403;fr
Bursinel;1195;3;Bursinel;5852;VD;6.3041852;46.4383503;fr
Bursins;1183;0;Bursins;5853;VD;6.2898591;46.4531016;fr
Burtigny;1268;2;Burtigny;5854;VD;6.2592677;46.4649121;fr
Dully;1195;2;Dully;5855;VD;6.2947770;46.4293644;fr
Essertines-sur-Rolle;1186;0;Essertines-sur-Rolle;5856;VD;6.3178983;46.4931451;fr
Gilly;1182;0;Gilly;5857;VD;6.3002708;46.4592226;fr
Luins;1184;0;Luins;5858;VD;6.2727382;46.4464313;fr
Mont-sur-Rolle;1185;0;Mont-sur-Rolle;5859;VD;6.3369580;46.4709375;fr
Perroy;1166;0;Perroy;5860;VD;6.3654060;46.4675925;fr
Rolle;1180;0;Rolle;5861;VD;6.3361767;46.4585653;fr
Tartegnin;1180;2;Tartegnin;5862;VD;6.3150672;46.4663789;fr
Vinzel;1184;1;Vinzel;5863;VD;6.2788794;46.4481612;fr
Le Pont;1342;0;L'Abbaye;5871;VD;6.3315365;46.6645928;fr
L'Abbaye;1344;0;L'Abbaye;5871;VD;6.3196028;46.6500966;fr
Les Bioux;1346;0;L'Abbaye;5871;VD;6.2742949;46.6221799;fr
L'Orient;1341;0;Le Chenit;5872;VD;6.2383691;46.6009423;fr
Le Sentier;1347;0;Le Chenit;5872;VD;6.2319840;46.6083161;fr
Le Solliat;1347;1;Le Chenit;5872;VD;6.2345008;46.6197570;fr
Le Brassus;1348;0;Le Chenit;5872;VD;6.2101524;46.5818839;fr
Les Charbonnières;1343;0;Le Lieu;5873;VD;6.3134670;46.6667561;fr
Le Lieu;1345;0;Le Lieu;5873;VD;6.2820858;46.6474480;fr
Le Séchey;1345;1;Le Lieu;5873;VD;6.2999926;46.6601316;fr
Blonay;1807;0;Blonay;5881;VD;6.8944082;46.4658558;fr
Le Mont-Pèlerin;1801;0;Chardonne;5882;VD;6.8301946;46.4815849;fr
Chardonne;1803;0;Chardonne;5882;VD;6.8269865;46.4768398;fr
Corseaux;1802;0;Corseaux;5883;VD;6.8328086;46.4723089;fr
Corsier-sur-Vevey;1804;0;Corsier-sur-Vevey;5884;VD;6.8416947;46.4701989;fr
Les Monts-de-Corsier;1808;0;Corsier-sur-Vevey;5884;VD;6.8767643;46.4994912;fr
Fenil-sur-Corsier;1809;0;Corsier-sur-Vevey;5884;VD;6.8661796;46.4836104;fr
Jongny;1805;0;Jongny;5885;VD;6.8421349;46.4779067;fr
Clarens;1815;0;Montreux;5886;VD;6.8924829;46.4420271;fr
Chailly-Montreux;1816;0;Montreux;5886;VD;6.8919915;46.4544173;fr
Brent;1817;0;Montreux;5886;VD;6.9014388;46.4575883;fr
Montreux;1820;0;Montreux;5886;VD;6.9127993;46.4308324;fr
Territet;1820;5;Montreux;5886;VD;6.9231581;46.4267969;fr
Chernex;1822;0;Montreux;5886;VD;6.9136106;46.4425899;fr
Glion;1823;0;Montreux;5886;VD;6.9256235;46.4321251;fr
Caux;1824;0;Montreux;5886;VD;6.9385944;46.4327139;fr
Chamby;1832;0;Montreux;5886;VD;6.9135167;46.4493016;fr
Villard-sur-Chamby;1832;2;Montreux;5886;VD;6.9313828;46.4636644;fr
Les Avants;1833;0;Montreux;5886;VD;6.9428209;46.4531033;fr
St-Légier-La Chiésaz;1806;0;Saint-Légier-La Chiésaz;5888;VD;6.8839890;46.4713671;fr
La Tour-de-Peilz;1814;0;La Tour-de-Peilz;5889;VD;6.8570172;46.4536091;fr
Vevey;1800;0;Vevey;5890;VD;6.8481515;46.4590604;fr
Veytaux;1820;6;Veytaux;5891;VD;6.9288196;46.4208173;fr
Belmont-sur-Yverdon;1432;0;Belmont-sur-Yverdon;5902;VD;6.6239277;46.7455274;fr
Bioley-Magnoux;1407;4;Bioley-Magnoux;5903;VD;6.7118217;46.7268849;fr
Chamblon;1436;2;Chamblon;5904;VD;6.6065711;46.7785465;fr
Champvent;1443;0;Champvent;5905;VD;6.5751694;46.7834800;fr
Essert-sous-Champvent;1443;2;Champvent;5905;VD;6.5846306;46.7931848;fr
Villars-sous-Champvent;1443;3;Champvent;5905;VD;6.5832303;46.7863584;fr
Chavannes-le-Chêne;1464;0;Chavannes-le-Chêne;5907;VD;6.7771141;46.7768575;fr
Chêne-Pâquier;1464;2;Chêne-Pâquier;5908;VD;6.7687898;46.7713355;fr
Cheseaux-Noréaz;1400;5;Cheseaux-Noréaz;5909;VD;6.6768613;46.7830928;fr
Cronay;1406;0;Cronay;5910;VD;6.6963828;46.7571415;fr
Cuarny;1404;0;Cuarny;5911;VD;6.6888153;46.7700799;fr
Démoret;1415;2;Démoret;5912;VD;6.7563703;46.7474382;fr
Donneloye;1407;0;Donneloye;5913;VD;6.7161434;46.7450684;fr
Gossens;1407;2;Donneloye;5913;VD;6.7002527;46.7393113;fr
Mézery-près-Donneloye;1407;3;Donneloye;5913;VD;6.7274291;46.7490692;fr
Prahins;1408;0;Donneloye;5913;VD;6.7401764;46.7352758;fr
Ependes VD;1434;0;Ependes (VD);5914;VD;6.6084871;46.7450764;fr
Mathod;1438;0;Mathod;5919;VD;6.5673019;46.7667847;fr
Molondin;1415;0;Molondin;5921;VD;6.7485550;46.7597376;fr
Montagny-près-Yverdon;1442;0;Montagny-près-Yverdon;5922;VD;6.6122899;46.7930042;fr
Oppens;1047;0;Oppens;5923;VD;6.6924509;46.7141060;fr
Orges;1430;0;Orges;5924;VD;6.5885547;46.8080175;fr
Orzens;1413;0;Orzens;5925;VD;6.6836973;46.7213898;fr
Pomy;1405;0;Pomy;5926;VD;6.6694732;46.7593189;fr
Rovray;1463;0;Rovray;5928;VD;6.7651845;46.7844974;fr
Suchy;1433;0;Suchy;5929;VD;6.5989927;46.7224657;fr
Suscévaz;1437;0;Suscévaz;5930;VD;6.5779612;46.7642349;fr
Treycovagnes;1436;0;Treycovagnes;5931;VD;6.6094115;46.7741254;fr
Ursins;1412;2;Ursins;5932;VD;6.6682192;46.7353381;fr
Valeyres-sous-Montagny;1441;0;Valeyres-sous-Montagny;5933;VD;6.6089067;46.7989404;fr
Valeyres-sous-Ursins;1412;0;Valeyres-sous-Ursins;5934;VD;6.6556230;46.7462933;fr
Villars-Epeney;1404;2;Villars-Epeney;5935;VD;6.6969016;46.7817111;fr
Vugelles-La Mothe;1431;0;Vugelles-La Mothe;5937;VD;6.5785916;46.8240864;fr
Yverdon-les-Bains;1400;0;Yverdon-les-Bains;5938;VD;6.6403798;46.7788647;fr
Gressy;1432;2;Yverdon-les-Bains;5938;VD;6.6355055;46.7479922;fr
Yvonand;1462;0;Yvonand;5939;VD;6.7450912;46.7982265;fr
Brig;3900;0;Brig-Glis;6002;VS;7.9895851;46.3165972;de
Gamsen;3900;2;Brig-Glis;6002;VS;7.9548817;46.3052085;de
Brigerbad;3900;3;Brig-Glis;6002;VS;7.9186579;46.3000828;de
Glis;3902;0;Brig-Glis;6002;VS;7.9780540;46.3107515;de
Eggerberg;3939;0;Eggerberg;6004;VS;7.8769862;46.3066006;de
Mund;3903;0;Naters;6007;VS;7.9390678;46.3163550;de
Birgisch;3903;1;Naters;6007;VS;7.9577046;46.3187317;de
Naters;3904;0;Naters;6007;VS;7.9837801;46.3267358;de
Blatten b. Naters;3914;0;Naters;6007;VS;7.9833597;46.3578639;de
Belalp;3914;1;Naters;6007;VS;7.9746216;46.3717489;de
Rothwald;3901;23;Ried-Brig;6008;VS;8.0407908;46.2810102;de
Ried-Brig;3911;0;Ried-Brig;6008;VS;8.0171364;46.3140678;de
Simplon Dorf;3907;0;Simplon;6009;VS;8.0562139;46.1958808;de
Simplon Hospiz;3907;2;Simplon;6009;VS;8.0291055;46.2466543;de
Gabi (Simplon);3907;3;Simplon;6009;VS;8.0728795;46.1849206;de
Termen;3912;0;Termen;6010;VS;8.0209157;46.3280633;de
Rosswald;3913;0;Termen;6010;VS;8.0457803;46.3054530;de
Gondo;3907;4;Zwischbergen;6011;VS;8.1409611;46.1957560;de
Ardon;1957;0;Ardon;6021;VS;7.2525681;46.2104411;fr
Chamoson;1955;0;Chamoson;6022;VS;7.2250190;46.2021034;fr
Mayens-de-Chamoson;1955;1;Chamoson;6022;VS;7.1815829;46.2059007;fr
Les Vérines (Chamoson);1955;2;Chamoson;6022;VS;7.2033873;46.2105085;fr
Némiaz (Chamoson);1955;3;Chamoson;6022;VS;7.2235013;46.2123189;fr
Grugnay (Chamoson);1955;4;Chamoson;6022;VS;7.2159266;46.2067292;fr
St-Pierre-de-Clages;1955;5;Chamoson;6022;VS;7.2374697;46.1922482;fr
Conthey;1964;0;Conthey;6023;VS;7.3048751;46.2273501;fr
St-Séverin;1975;0;Conthey;6023;VS;7.3028554;46.2387239;fr
Erde;1976;0;Conthey;6023;VS;7.2933310;46.2390521;fr
Aven;1976;1;Conthey;6023;VS;7.2723411;46.2364859;fr
Daillon;1976;2;Conthey;6023;VS;7.3061272;46.2561117;fr
Clèbes (Nendaz);1993;2;Nendaz;6024;VS;7.3364779;46.1851792;fr
Aproz (Nendaz);1994;2;Nendaz;6024;VS;7.3159580;46.2067288;fr
Basse-Nendaz;1996;0;Nendaz;6024;VS;7.3126788;46.1894801;fr
Fey (Nendaz);1996;1;Nendaz;6024;VS;7.2684732;46.1873644;fr
Bieudron (Nendaz);1996;2;Nendaz;6024;VS;7.2778422;46.1947453;fr
Condémines (Nendaz);1996;3;Nendaz;6024;VS;7.2558234;46.1769694;fr
Saclentse;1996;4;Nendaz;6024;VS;7.3197449;46.1759182;fr
Baar (Nendaz);1996;5;Nendaz;6024;VS;7.3294720;46.2047039;fr
Beuson (Nendaz);1996;6;Nendaz;6024;VS;7.3237243;46.1814344;fr
Brignon (Nendaz);1996;7;Nendaz;6024;VS;7.3273363;46.1890756;fr
Haute-Nendaz;1997;0;Nendaz;6024;VS;7.2944456;46.1833252;fr
Siviez (Nendaz);1997;1;Nendaz;6024;VS;7.3163771;46.1357653;fr
Sornard (Nendaz);1997;2;Nendaz;6024;VS;7.3047423;46.1854809;fr
Vétroz;1963;0;Vétroz;6025;VS;7.2816927;46.2272271;fr
